Concetto,Tipo,Specificità,Def_ID,Definizione,Synset trovato,Synset corretto,Corretto,Score,Glossa WordNet
Music,Astratto,Generico,20,"Woody plant covered with cortex. Has  branches, roots and leaves, it does the photosynthesis.",music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,21,"It&#039;s a sound produced by musical instruments, often accompanied by the voice.",music.n.04,music.n.01,False,0.2962,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,22,"Understood as a living thing that sustains life by producing oxygen. It consists of a large vertical trunk rising from the ground, with roots at the base and a dense canopy of branches and leaves at the top.",music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,23,A tree is a woody plant capable of growing in height and is made up of branches and leaves.,music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,24,"a succession of sounds, called musical notes, which, when heard in sequence, cause pleasure to the human ear. It is often divided into genres like rap, trap, reagetton, techno...",music.n.04,music.n.01,False,0.1381,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,25,An arrangement of artificial sounds that conveys feelings,music.n.04,music.n.01,False,0.1764,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,26,Sounds that can be made by people or objects and are considered pleasant,music.n.04,music.n.01,False,0.1764,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,27,Insieme di suoni,music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,28,Harmonious composition of sound waves produced byanalog or digital instruments,music.n.04,music.n.01,False,0.196,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Ethics,Astratto,Specifico,1,"Philosophical thought aimed at explaining ideal human behavior, attempting to demonstrate what is right and what is wrong. It often depends on the historical period and sociocultural context.",moral_philosophy.n.01,ethics.n.01,False,0.1562,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,2,"The ABSTRACT and SPECIFIC concept is something non-physical and generic.            Politeness, good manners, nastiness, behavior, ethics, music.      Politeness can refer to behaviors, rules, etc.",morality.n.01,ethics.n.01,False,0.1019,concern with the distinction between good and evil or right and wrong; right or good conduct
Ethics,Astratto,Specifico,3,Branch of philosophy that focuses on defining correct and incorrect human behavior.,moral_philosophy.n.01,ethics.n.01,False,0.3363,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,4,Common sentiment according with every human being should act to improve his and others quality of life,moral_philosophy.n.01,ethics.n.01,False,0.0899,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,5,philosophy or science that concern behaviors that are considered morally correct,moral_philosophy.n.01,ethics.n.01,False,0.111,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,6,"Etics: philosophy’s branch that studies every behaviour. In particular, it distinguishes itself from politics and law, because it concentrates on action’s sphere and whether they’re good or bad and not already of the legally permitted or prohibited ones or of the more politically appropriate ones.",moral_philosophy.n.01,ethics.n.01,False,0.1693,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,7,A container that can be used to store liquid tea and is usually used to pour tea into teacups.,ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,8,branch of philosophy that aims to ask whether certain behaviors are right or wrong,moral_philosophy.n.01,ethics.n.01,False,0.3384,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,9,Moral principles learned by the society to which one belongs that define right and wrong,moral_philosophy.n.01,ethics.n.01,False,0.2055,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,10,Set of conventionally shared unwritten rules,ethics.n.01,ethics.n.01,True,0.1439,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,11,A heuristic is a mental strategy that helps people make decisions or solve problems quickly without considering every possible option in detail.,ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,12,Etica: insieme di regole morali che una persona segue,ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,13,"This field of philosophy is a large research topic, this field deals with many world problems theoretically and trys to solve, centuries long, problems on what can be considered right or wrong.",moral_philosophy.n.01,ethics.n.01,False,0.1266,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,14,"Container, usually made of ceramic or glass, used for serving tea or other infusions.",ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,15,Set of values and behaviours that regulates human behaviour,ethics.n.01,ethics.n.01,True,0.1346,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,16,combination of written and non-written rules on which human interaction is based,ethical_motive.n.01,ethics.n.01,False,0.1175,motivation based on ideas of right and wrong
Ethics,Astratto,Specifico,17,Discipline that studies rules of behavior that respect morality and common sense,ethics.n.01,ethics.n.01,True,0.1174,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,18,The morals of people who define right behavior,morality.n.01,ethics.n.01,False,0.1103,concern with the distinction between good and evil or right and wrong; right or good conduct
Ethics,Astratto,Specifico,19,Set of moral values adopted by the social context we live in,ethics.n.01,ethics.n.01,True,0.2561,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,20,"Container of various sizes to store liquids, generally used to make tea and other infusions.",ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,21,It is a philosophical subject that studies human behavior in certain contexts to understand what is right and what is wrong.,moral_philosophy.n.01,ethics.n.01,False,0.3233,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,22,"A container of various shapes and materials, but featuring a spout, a handle and a lid. It is used to brew tea leaves or other ingredients.",ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,23,A teapot is a container used mainly for infusions or herbal teas.,ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,24,"branch of philosophy that studies human behavior, and in particular analyzes what is right or wrong, and what collective behaviors lead to good or evil.",moral_philosophy.n.01,ethics.n.01,False,0.4857,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,25,A philosophy that humans pursue to behave in the most correct way based on the situation,ethical_motive.n.01,ethics.n.01,False,0.1302,motivation based on ideas of right and wrong
Ethics,Astratto,Specifico,26,Branch of philosophy that studies human behavior by trying to define what is right and what is wrong.,moral_philosophy.n.01,ethics.n.01,False,0.6295,the branch of philosophy that studies the principles of right and wrong in human conduct
Ethics,Astratto,Specifico,27,Comportamento morale volto al perseguimento di azioni considerate &quot;giuste&quot; in determinati contesti,ethics.n.01,ethics.n.01,True,0.0,the philosophical study of moral values and rules
Ethics,Astratto,Specifico,28,Abstract concept that divides human behaviours into good and bad,morality.n.01,ethics.n.01,False,0.1824,concern with the distinction between good and evil or right and wrong; right or good conduct
Tree,Concreto,Generico,1,"a plant with roots, trunk, branches and foliage used to obtain timber and produce paper",tree.n.01,tree.n.01,True,0.1754,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,2,"The CONCRETE and GENERIC concepts indicate something physical but generic.            The tree, the car, the table, the sheep,      are concrete but generic things.            l&#039;albero e&#039; un qualcosa di fisico , ci fa pensare alle foglie ai frutti      il tavolo e&#039; anche qualcosa di fisico ci fa pensare al pranzo , la cena      la pecora e&#039; anche qualcosa di fisico che ci fa pensare alla lana",tree.n.03,tree.n.01,False,0.0272,English actor and theater manager who was the son of Herbert Beerbohm Tree
Tree,Concreto,Generico,3,"Plant, with different types and generic size, having leaves, branches, roots.",tree.n.01,tree.n.01,True,0.1754,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,4,High and solid Kind of plant composed by a trunk covered in bark and a foliage Made by leaf.      It has roots that keep it anchored to the ground,tree.n.01,tree.n.01,True,0.0983,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,5,"Living being that lives in the ground and is characterized by a trunk, branches, leaves and sometimes flowers or fruits",plant.n.01,tree.n.01,False,0.1047,a living organism lacking the power of locomotion
Tree,Concreto,Generico,6,"tree: plant made by a tunk, branches and leaves",tree.n.01,tree.n.01,True,0.1566,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,7,An organizations of sounds that can be made through specific instruments and/or human voices.,tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,8,woody plant with branches and leaves,tree.n.01,tree.n.01,True,0.2919,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,9,"Type of plant composed of roots, trunk, branches and leaves.",tree.n.01,tree.n.01,True,0.2033,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,10,"Organic component born from a seed, composed of roots, trunk, leaves and branches",tree.n.01,tree.n.01,True,0.1072,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,11,"A tool is an object used to perform practical tasks more easily, especially when building, repairing, cutting, or measuring something.",tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,12,"Albero: pianta composta da tronco e rami, di altezza variabile, spesso produttrice di frutta.",tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,13,"A usually thick and tall (depending on the region) woody type of plant, this plant is mostly covered in bark and fetures a bit ammount of roots and branches and leaves on the bottom and the top respectively. The age of a tree us the number of circles in the log",tree.n.01,tree.n.01,True,0.1754,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,14,"A set of rhythmic sounds often produced by percussion or string instruments, or created through their digital manipulation, often accompanied by one or more singers.",tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,15,"Organism covered in bark, leaves that cover the branches and at the base it has roots situated under the dirt",plant.n.01,tree.n.01,False,0.1028,a living organism lacking the power of locomotion
Tree,Concreto,Generico,16,"plant with roots, branches, trunk and leaves",tree.n.01,tree.n.01,True,0.2509,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,17,Complex terrestrial plant characterized by a woody trunk and apical branches on which leaves grow,tree.n.01,tree.n.01,True,0.2331,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,18,"Plant composed of leaves, branches and bark, in which the sap flows inside it",tree.n.01,tree.n.01,True,0.1145,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,19,"Plant serveral years old, composed by a wooden log that usually splits into several branches. Depending on the season it might display flowers or leaves depending on the season",tree.n.01,tree.n.01,True,0.0682,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,20,"Set of sounds having a rhythm, used to dance or just listen.      Generally done using instruments.",tree.n.01,tree.n.01,True,0.0571,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,21,"It is a plant that extends in height, with a woody trunk at the base, at the top it estende with branches which in turn are composed of leaves.",tree.n.01,tree.n.01,True,0.2098,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,22,"Art that has no visual or tactile representation but seeks to express concepts through harmonies, allowing the listener to form their own mental or emotional associations.",tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,23,A musical content is composed of a soundtrack and/or lyrics.,tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,24,a type of plant that generally have radix and branches with leaves.,tree.n.01,tree.n.01,True,0.1349,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,25,A type of plant that grows high and is made of hard wood and can present leaves and flowers.,tree.n.01,tree.n.01,True,0.0603,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,26,"Plant of generic dimensions, composed of branches, roots and leaves",tree.n.01,tree.n.01,True,0.1234,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,27,"(Definizione classica) Struttura legnosa di altezza variabile, con tronco più o meno robusto e con foglie agli estremi dei rami      (Definizione informatica) struttura dati dove ogni nodo presenta zero, uno o due figli. Se non ci sono figli allora il nodo è chiamato foglia altrimenti sarà parte di un ramo",tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tree,Concreto,Generico,28,"Natural element that produces fruits or flower depending on the species, according ti the season",tree.n.01,tree.n.01,True,0.0,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Teapot,Concreto,Specifico,1,"kitchen tool used to infuse tea leaves in boiling water, usually made of ceramic",kettle.n.01,teapot.n.01,False,0.1327,a metal pot for stewing or boiling; usually has a lid
Teapot,Concreto,Specifico,2,"The concept of CONCRETE and SPECIFIC indicates something physical but generic.      Football, swimming, karate...            Football is something you do physically, so we associate it with players, stadiums, and television.",teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,3,Metal container usually used for heating general liquids.,vessel.n.03,teapot.n.01,False,0.3063,a container used for carrying or storing liquids
Teapot,Concreto,Specifico,4,Small container for liquids used to pour hot beverages in mugs and cups.      It is usually used to let decant and infuse leaves of tea.,vessel.n.03,teapot.n.01,False,0.1634,a container used for carrying or storing liquids
Teapot,Concreto,Specifico,5,Tool used to make tea,teapot.n.01,teapot.n.01,True,0.2594,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,6,teapot : recipient which has a pot-bellied shape with a handle beak and lid and contains tea on the inside,teapot.n.01,teapot.n.01,True,0.2836,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,7,The philosophy that studies what are the right behaviours within human society,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,8,"container, often made of ceramic, which is intended to contain tea during serving and infusion",teapot.n.01,teapot.n.01,True,0.1353,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,9,"Container, normally made of ceramic, used to heat water and prepare tea. Also used for table setting.",teapot.n.01,teapot.n.01,True,0.1175,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,10,Container useful for holding and pouring tee,vessel.n.03,teapot.n.01,False,0.1276,a container used for carrying or storing liquids
Teapot,Concreto,Specifico,11,A microscope is a instrument used to observe objects that are too smalll to be seen clearly wicth the naked eye.,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,12,Teiera: strumento utilizzato per lasciare in infusone erbe e spezie per produrre il the,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,13,"This type of kitchen tool is used to store, usually, really hot water with different kinds of dried leaves waiting to be poured in a countainer, it has an handle and a hole that help to pour the water",teapot.n.01,teapot.n.01,True,0.052,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,14,Human morality that varies according to specific contexts.,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,15,Object used for serving thè,container.n.01,teapot.n.01,False,0.1614,any object that can be used to hold things (especially a large metal container for liquids)
Teapot,Concreto,Specifico,16,"tool used to prepare and hold tea, it is also used as home furnishings.",teapot.n.01,teapot.n.01,True,0.1451,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,17,Ceramic or metal container used to hold or heat water for making tea,container.n.01,teapot.n.01,False,0.2435,any object that can be used to hold things (especially a large metal container for liquids)
Teapot,Concreto,Specifico,18,"Container for liquids, usually tea, used to pour it into cups",vessel.n.03,teapot.n.01,False,0.2925,a container used for carrying or storing liquids
Teapot,Concreto,Specifico,19,"Small jug provided with lid, usually made of clay or metal, used to infuse the leaves before pouring the liquid into the cups.",kettle.n.01,teapot.n.01,False,0.1416,a metal pot for stewing or boiling; usually has a lid
Teapot,Concreto,Specifico,20,Concept regarding base codes of conduct that humans should follow in relation to the world that surround them.,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,21,"It&#039;s a container for making tea or herbal teas, slightly rounded in shape, with a handle, a lid, and an elongated spout.",teapot.n.01,teapot.n.01,True,0.2971,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,22,A branch of philosophy that seeks to study human morality and the methods or criteria of judgement.,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,23,Ethics includes moral principles that must be respected when making choices.,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,24,"a type of container with a lid, which is usually needed to serve tea or herbal tea.",teapot.n.01,teapot.n.01,True,0.2426,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,25,A container used to boil water in order to make and pour tea.,teapot.n.01,teapot.n.01,True,0.1478,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,26,Container usually used for containing and serving tea,teapot.n.01,teapot.n.01,True,0.189,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,27,Oggetto solitamente in ceramica utilizzata per contenere liquidi caldi,teapot.n.01,teapot.n.01,True,0.0,pot for brewing tea; usually has a spout and handle
Teapot,Concreto,Specifico,28,"object for holding drinks, such as hot tea, useful for serving it more comfortably",teapot.n.01,teapot.n.01,True,0.1238,pot for brewing tea; usually has a spout and handle
