concept,def_id,definition,genus,n_candidates,pred_synset,pred_gloss,target_synset,target_reachable,score,status,is_correct
teapot,12,Teiera: strumento utilizzato per lasciare in infusone erbe e spezie per produrre il the,e,6,alpha-tocopheral.n.01,a potent form of vitamin E obtained from germ oils or by synthesis,teapot.n.01,False,0.175921,ok,False
teapot,13,"This type of kitchen tool is used to store, usually, really hot water with different kinds of dried leaves waiting to be poured in a countainer, it has an handle and a hole that help to pour the water",type,31,nature.n.05,a particular type of thing,teapot.n.01,False,0.181588,ok,False
teapot,14,Human morality that varies according to specific contexts.,morality,52,rightness.n.01,according with conscience or morality,teapot.n.01,False,0.743454,ok,False
teapot,15,Object used for serving thè,object,300,stuff.n.02,miscellaneous unspecified objects,teapot.n.01,False,0.413394,ok,False
teapot,16,"tool used to prepare and hold tea, it is also used as home furnishings.",tool,245,garden_trowel.n.01,a trowel used by gardeners,teapot.n.01,False,0.458366,ok,False
teapot,17,Ceramic or metal container used to hold or heat water for making tea,container,300,caddy.n.01,a can for storing tea,teapot.n.01,False,0.605193,ok,False
teapot,18,"Container for liquids, usually tea, used to pour it into cups",container,300,glass.n.02,a container for holding liquids while drinking,teapot.n.01,False,0.650302,ok,False
teapot,19,"Small jug provided with lid, usually made of clay or metal, used to infuse the leaves before pouring the liquid into the cups.",jug,5,water_jug.n.01,a jug that holds water,teapot.n.01,False,0.555255,ok,False
teapot,20,Concept regarding base codes of conduct that humans should follow in relation to the world that surround them.,concept,244,law.n.03,a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society,teapot.n.01,False,0.439832,ok,False
teapot,21,"It&#039;s a container for making tea or herbal teas, slightly rounded in shape, with a handle, a lid, and an elongated spout.",container,300,caddy.n.01,a can for storing tea,teapot.n.01,False,0.510069,ok,False
teapot,22,A branch of philosophy that seeks to study human morality and the methods or criteria of judgement.,branch,25,judicial_branch.n.01,the branch of the United States government responsible for the administration of justice,teapot.n.01,False,0.471979,ok,False
teapot,23,Ethics includes moral principles that must be respected when making choices.,ethics,19,ethics.n.02,the philosophical study of moral values and rules,teapot.n.01,False,0.661179,ok,False
teapot,24,"a type of container with a lid, which is usually needed to serve tea or herbal tea.",type,31,nature.n.05,a particular type of thing,teapot.n.01,False,0.273682,ok,False
teapot,25,A container used to boil water in order to make and pour tea.,container,300,caddy.n.01,a can for storing tea,teapot.n.01,False,0.594675,ok,False
teapot,26,Container usually used for containing and serving tea,container,300,cup.n.01,a small open container usually used for drinking; usually has a handle,teapot.n.01,False,0.598272,ok,False
teapot,27,Oggetto solitamente in ceramica utilizzata per contenere liquidi caldi,,0,,,teapot.n.01,False,0.0,no_candidates,False
teapot,28,"object for holding drinks, such as hot tea, useful for serving it more comfortably",object,300,scrap.n.03,a small piece of something that is left over after the rest has been used,teapot.n.01,False,0.362872,ok,False
