"Risposta numero","(AG) Definizione del concetto ASTRATTO e GENERICO","(AS) Definizione del concetto ASTRATTO e SPECIFICO","(CG) Definizione del concetto CONCRETO e GENERICO","(CS) Definizione del concetto CONCRETO e SPECIFICO","(CM) Definizione del concetto misterioso (complesso)"
14,"Plant with a woody trunk and leaves","Container, usually made of ceramic or glass, used for serving tea or other infusions.","A set of rhythmic sounds often produced by percussion or string instruments, or created through their digital manipulation, often accompanied by one or more singers.","Human morality that varies according to specific contexts.","A series of smartphones designed and developed by Google at both the software and hardware levels."
15,"Composition of sounds that form a melody","Set of values and behaviours that regulates human behaviour","Organism covered in bark, leaves that cover the branches and at the base it has roots situated under the dirt","Object used for serving thè","A strong negative feeling/emotion towards another person that wronged you"
16,"combination of sounds audible to humans","combination of written and non-written rules on which human interaction is based","plant with roots, branches, trunk and leaves","tool used to prepare and hold tea, it is also used as home furnishings.","virtual or physical content that has the purpose of promoting goods, ideals or services"
17,"Set of sounds produced and arranged in a certain way to form a melody","Discipline that studies rules of behavior that respect morality and common sense","Complex terrestrial plant characterized by a woody trunk and apical branches on which leaves grow","Ceramic or metal container used to hold or heat water for making tea","A piece of furniture featuring a comfortable, padded seat used for relax. It usually has two or more seats"
18,"Pleasant concept where sounds go in harmony, brings together notes, time and metrics","The morals of people who define right behavior","Plant composed of leaves, branches and bark, in which the sap flows inside it","Container for liquids, usually tea, used to pour it into cups","pathological addiction, there are dedicated places generally prohibited to minors under 18 years of age."
19,"Sequence of sounds, eventually tuned, reproduced for artistic or entertainment purpose","Set of moral values adopted by the social context we live in","Plant serveral years old, composed by a wooden log that usually splits into several branches. Depending on the season it might display flowers or leaves depending on the season","Small jug provided with lid, usually made of clay or metal, used to infuse the leaves before pouring the liquid into the cups.","Small iron bar equipped with a hand grip and a flat or cross shaped tip used to tighten the screws"
20,"Woody plant covered with cortex. Has  branches, roots and leaves, it does the photosynthesis.","Container of various sizes to store liquids, generally used to make tea and other infusions.","Set of sounds having a rhythm, used to dance or just listen.      Generally done using instruments.","Concept regarding base codes of conduct that humans should follow in relation to the world that surround them.","Tool used to unstuck tubes or pipes using a suction cup."
21,"It&#039;s a sound produced by musical instruments, often accompanied by the voice.","It is a philosophical subject that studies human behavior in certain contexts to understand what is right and what is wrong.","It is a plant that extends in height, with a woody trunk at the base, at the top it estende with branches which in turn are composed of leaves.","It&#039;s a container for making tea or herbal teas, slightly rounded in shape, with a handle, a lid, and an elongated spout.","accessory for holding and gathering hair, often made of plastic with a spring in the center"
22,"Understood as a living thing that sustains life by producing oxygen. It consists of a large vertical trunk rising from the ground, with roots at the base and a dense canopy of branches and leaves at the top.","A container of various shapes and materials, but featuring a spout, a handle and a lid. It is used to brew tea leaves or other ingredients.","Art that has no visual or tactile representation but seeks to express concepts through harmonies, allowing the listener to form their own mental or emotional associations.","A branch of philosophy that seeks to study human morality and the methods or criteria of judgement.","A key hormone that triggers a fight-or-flight response, preparing the body to react swiftly to the situation."
23,"A tree is a woody plant capable of growing in height and is made up of branches and leaves.","A teapot is a container used mainly for infusions or herbal teas.","A musical content is composed of a soundtrack and/or lyrics.","Ethics includes moral principles that must be respected when making choices.","Point of interaction with a more or less complex hardware system."
24,"a succession of sounds, called musical notes, which, when heard in sequence, cause pleasure to the human ear. It is often divided into genres like rap, trap, reagetton, techno...","branch of philosophy that studies human behavior, and in particular analyzes what is right or wrong, and what collective behaviors lead to good or evil.","a type of plant that generally have radix and branches with leaves.","a type of container with a lid, which is usually needed to serve tea or herbal tea.","A car that generally has higher performance than classic road cars, in addition to being much more expensive. It is capable of reaching higher speeds than normal, and is often used as a starting point for professional racing competitions."
25,"An arrangement of artificial sounds that conveys feelings","A philosophy that humans pursue to behave in the most correct way based on the situation","A type of plant that grows high and is made of hard wood and can present leaves and flowers.","A container used to boil water in order to make and pour tea.","A machine used in agricolture that reaps and threshes cereals in a field"
26,"Sounds that can be made by people or objects and are considered pleasant","Branch of philosophy that studies human behavior by trying to define what is right and what is wrong.","Plant of generic dimensions, composed of branches, roots and leaves","Container usually used for containing and serving tea","The seasonal movement of livestock, typically moving them between lowlands and highlands during summer and winter"
27,"Insieme di suoni","Comportamento morale volto al perseguimento di azioni considerate &quot;giuste&quot; in determinati contesti","(Definizione classica) Struttura legnosa di altezza variabile, con tronco più o meno robusto e con foglie agli estremi dei rami      (Definizione informatica) struttura dati dove ogni nodo presenta zero, uno o due figli. Se non ci sono figli allora il nodo è chiamato foglia altrimenti sarà parte di un ramo","Oggetto solitamente in ceramica utilizzata per contenere liquidi caldi","Struttura solitamente in ferro per delimitare aree non oltrepassabili o mantenere ordine"
28,"Harmonious composition of sound waves produced byanalog or digital instruments","Abstract concept that divides human behaviours into good and bad","Natural element that produces fruits or flower depending on the species, according ti the season","object for holding drinks, such as hot tea, useful for serving it more comfortably","Mental contenta, a representation or concept Born from thought, imagination or experience"
